idpozo,fecha_data,anio,mes,areayacimiento,prod_pet,prod_gas,prod_agua,tipo_de_recurso
123367,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123358,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123365,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123491,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123430,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123393,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123383,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123379,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123382,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123392,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123384,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,88.71,1.99,1969.05,CONVENCIONAL
123387,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123425,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,73.47,1.15,608.67,CONVENCIONAL
123408,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123395,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123396,2021-01-31,2021,1,BARRANCAS OESTE,0.0,0.0,0.0,CONVENCIONAL
123421,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,21.85,0.49,246.23,CONVENCIONAL
123411,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,85.75,1.91,1631.79,CONVENCIONAL
123412,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123488,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123466,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,85.28,1.88,1710.2,CONVENCIONAL
123449,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123434,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123435,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,35.91,0.56,350.85,CONVENCIONAL
123464,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123454,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,125.95,1.94,354.39,CONVENCIONAL
123463,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,93.45,2.1,316.54,CONVENCIONAL
123486,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123474,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123467,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,70.55,1.59,598.94,CONVENCIONAL
123472,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123481,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123475,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123479,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,48.39,1.08,1553.69,CONVENCIONAL
123734,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123621,2021-01-31,2021,1,BARRANCAS,148.7,4.27,3637.95,CONVENCIONAL
123562,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123524,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123508,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123501,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123504,2021-01-31,2021,1,BARRANCAS,105.47,3.98,509.41,CONVENCIONAL
